Bezhta1	Helmets1	Helmets2	Helmets3	Ikhrek1	Ikhrek2	Ikhrek3	Ikhrek4	Karata1	Karata2	Karata3	Karata4	Khlut1	Khlut2	Khlut3	Khlut4	Khlut5	Kiche1	Kiche2	Kidero1	Kidero2	Kidero3	Kina1	Kina2	Kina3	Kusur1	Mikik1	Mikik2	Rikvani1	Rutul1	Tad-Magitl1	Tad-Magitl2	Tlibisho1	Tlibisho2	Tlibisho3	Tlibisho4	Tukita1	Zilo1	Zilo2
Karata3	0.2222222222222222	0.5555555555555556	0.625	0.5555555555555556	0.3333333333333333	0.4	0.4	0.375	0.0	0.0	0.0	0.04	0.3333333333333333	0.375	0.3333333333333333	0.42857142857142855	0.3333333333333333	0.25	0.375	0.2222222222222222	0.09090909090909091	0.1	0.3333333333333333	0.3333333333333333	0.3333333333333333	0.42857142857142855	0.625	0.07692307692307693	0.36363636363636365	0.0	0.05555555555555555	0.0	0.1111111111111111	0.0625	0.0	0.0	0.0	0.0	0.5
Karata4	0.25	0.75	0.875	0.75	0.5	0.5555555555555556	0.5	0.5714285714285714	0.037037037037037035	0.0	0.04	0.0	0.5555555555555556	0.5714285714285714	0.4	0.5714285714285714	0.5555555555555556	0.42857142857142855	0.5714285714285714	0.3	0.1111111111111111	0.125	0.5	0.4444444444444444	0.5	0.6666666666666666	0.75	0.0	0.5	0.058823529411764705	0.058823529411764705	0.043478260869565216	0.06666666666666667	0.0	0.05555555555555555	0.07142857142857142	0.0	0.0	0.75
Khlut1	0.3333333333333333	0.0	0.0	0.0	0.0	0.0	0.03333333333333333	0.0	0.5454545454545454	0.5	0.3333333333333333	0.5555555555555556	0.0	0.0	0.0	0.02857142857142857	0.0	0.03333333333333333	0.0	0.25	0.375	0.2857142857142857	0.0	0.0	0.0	0.0	0.0	0.125	0.03225806451612903	0.2857142857142857	0.25	0.46153846153846156	0.625	0.42857142857142855	0.3	0.5	0.38461538461538464	0.4444444444444444	0.07142857142857142
Khlut2	0.2727272727272727	0.037037037037037035	0.037037037037037035	0.04	0.03571428571428571	0.03225806451612903	0.03225806451612903	0.037037037037037035	0.5555555555555556	0.5	0.375	0.5714285714285714	0.0	0.0	0.0	0.0	0.0	0.03125	0.0	0.2857142857142857	0.375	0.2857142857142857	0.03125	0.03125	0.03125	0.03571428571428571	0.041666666666666664	0.14285714285714285	0.05714285714285714	0.2	0.25	0.46153846153846156	0.6	0.5	0.3333333333333333	0.5	0.46153846153846156	0.5	0.14285714285714285
Khlut3	0.14285714285714285	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.5	0.4	0.3333333333333333	0.4	0.0	0.0	0.0	0.0	0.0	0.045454545454545456	0.0	0.16666666666666666	0.2857142857142857	0.16666666666666666	0.0	0.0	0.0	0.0	0.0	0.16666666666666666	0.043478260869565216	0.2	0.14285714285714285	0.375	0.6	0.4	0.2857142857142857	0.42857142857142855	0.3333333333333333	0.42857142857142855	0.09090909090909091
Khlut4	0.36363636363636365	0.0	0.041666666666666664	0.0	0.0	0.0	0.0	0.0	0.5555555555555556	0.5	0.42857142857142855	0.5714285714285714	0.02857142857142857	0.0	0.0	0.0	0.029411764705882353	0.0	0.0	0.42857142857142855	0.42857142857142855	0.3333333333333333	0.0	0.0	0.0	0.0	0.0	0.14285714285714285	0.03571428571428571	0.16666666666666666	0.14285714285714285	0.45454545454545453	0.625	0.5	0.375	0.5714285714285714	0.45454545454545453	0.5	0.07142857142857142
Khlut5	0.3333333333333333	0.0	0.0	0.0	0.0	0.0	0.03333333333333333	0.0	0.5454545454545454	0.5	0.3333333333333333	0.5555555555555556	0.0	0.0	0.0	0.029411764705882353	0.0	0.03333333333333333	0.0	0.25	0.375	0.2857142857142857	0.0	0.0	0.0	0.0	0.0	0.125	0.03333333333333333	0.2857142857142857	0.25	0.46153846153846156	0.625	0.42857142857142855	0.3	0.5	0.38461538461538464	0.4444444444444444	0.07142857142857142
Kiche1	0.2727272727272727	0.0	0.041666666666666664	0.0	0.0	0.0	0.0	0.0	0.4444444444444444	0.4444444444444444	0.25	0.42857142857142855	0.03333333333333333	0.03125	0.045454545454545456	0.0	0.03333333333333333	0.0	0.0	0.25	0.3333333333333333	0.25	0.02857142857142857	0.02857142857142857	0.027777777777777776	0.04	0.041666666666666664	0.125	0.0	0.0	0.0	0.36363636363636365	0.5454545454545454	0.5	0.25	0.42857142857142855	0.36363636363636365	0.375	0.11764705882352941
Kiche2	0.3	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.5555555555555556	0.5	0.375	0.5714285714285714	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.2857142857142857	0.375	0.2857142857142857	0.0	0.0	0.0	0.0	0.0	0.125	0.0	0.25	0.2857142857142857	0.45454545454545453	0.5454545454545454	0.5	0.375	0.5714285714285714	0.5	0.5	0.06666666666666667
Kidero1	0.0	0.5	0.42857142857142855	0.5	0.3333333333333333	0.4	0.45454545454545453	0.4	0.2727272727272727	0.25	0.2222222222222222	0.3	0.25	0.2857142857142857	0.16666666666666666	0.42857142857142855	0.25	0.25	0.2857142857142857	0.0	0.058823529411764705	0.058823529411764705	0.3333333333333333	0.36363636363636365	0.3333333333333333	0.5555555555555556	0.5555555555555556	0.16666666666666666	0.3333333333333333	0.1111111111111111	0.2222222222222222	0.17647058823529413	0.16666666666666666	0.2	0.2	0.18181818181818182	0.15384615384615385	0.15384615384615385	0.2
