Lexeme	Alibeglo1	Arkhit1	Arkhit2	Arkhit3	Arkhit4	Arkhit5	Arkhit6	Bezhta1	D_Agul	D_Arabic	D_Avar	D_Azerbaijani	D_Bezhta1	D_Botlikh	D_Chechen	D_Gagatli	D_Georgian	D_Hinuq	D_Karata	D_Kumyk	D_Lezgian	D_Russian	D_Rutul	D_Tabasaran	D_Tsez	Darvag1	Darvag2	Darvag3	Darvag4	Darvag5	Darvag6	Dyubek1	Dyubek2	Dyubek3	Dyubek4	Dzhavgat1	Dzhavgat2	Dzhavgat3	Dzhavgat4	Dzhibakhni1	Dzhibakhni2	Dzhibakhni3	Dzhibakhni4	Helmets1	Helmets2	Helmets3	Ikhrek1	Ikhrek2	Ikhrek3	Ikhrek4	Ilisu1	Karata1	Karata2	Karata3	Karata4	Khapil1	Khapil2	Khapil3	Khapil4	Khapil5	Khiv1	Khiv2	Khiv3	Khiv4	Khlut1	Khlut2	Khlut3	Khlut4	Khlut5	Khoredzh1	Khoredzh2	Khoredzh3	Khoredzh4	Khoredzh5	Khoredzh6	Khutkhul1	Khutkhul2	Khutkhul3	Khutkhul4	Kiche1	Kiche2	Kidero1	Kidero2	Kidero3	Kina1	Kina2	Kina3	Kurag1	Laka1	Laka2	Laka3	Laka4	Laka5	Laka6	Meshabash1	Meshabash2	Mikik1	Mikik2	Qax1	Qax2	Qax3	Qax4	Qax5	Qax6	Qax7	Qax8	Qax9	Qum1	Qum2	Rikvani1	Rutul1	Tad-Magitl1	Tad-Magitl2	Tatil1	Tatil2	Tatil3	Tatil4	Tatil5	Tpig1	Tsinit1	Tsinit2	Tsinit3	Tsinit4	Tsinit5	Tukita1	Yagdyg1	Yagdyg2	Yagdyg3	Yagdyg4	Yagdyg5	Yagdyg6	Yersi1	Yersi2	Yersi3	Yersi4	Zilo1	Zilo2	D_Persian	D_Archi	D_Bezhta2	Tlibisho1	Tlibisho2	Tlibisho3	Tlibisho4	D_Bagvalal	Kusur1
the neighbour	3	4	4	4	4	4	4	2	4	1	6 7 2 13 14	4	2	2	10	2	3	2 2	2	4	4	11	4	4	2	4	4	4	4 4	4	4	4	4	4	4	12	12	12	12	12	12	12	12	4	4	4	4	4	4	4	4	2	2	2	2	4	4	4	4	4	4	4	4	4	4	4	NA	4	4	4	4	4	4	4	4	4	4	4	4	4	4	2	2	2	4	4	4	4	4	4	4	4	4	4	3	3	4	4	4	4	4	3	3	3	4	4	4	4	NA	NA	4	8 15	9	4	4	4	4	4	4	4	4	4	4	4	2	4	4	4	4	4	4	4	4	4	4	2	2	1 1	5	2	2	2	2	2	2	4
the nest	2	19	19	19	19	19	19	8	19	9	16	NA	8	16	14	16	2	19	15	24	19	18	NA	19	19	10	10	10	10 10	10	10	19	19	19	19	18	19	21	19	19	19	19	19	10	10	10	25	25	26	25 27	10	20	30	20	15	19	19	19	19	19	19	19	19	19	19	19	NA	19	19	19	19	19	19	19	19	23	19	19	19	13	13	12 17	12 19	19	NA	13	13	19	19	19	19	19	19	19	2	2	13	13	NA	10	10	2	2	2	10	10	10	13	NA	16	29	22	22	19	19	19	19	19	19	19	19	19	19	19	15	19	19	19	19	19	19	10	10	10	10	16	16 28	1 3 4 5 6 7	11	8	15	15	15	15 29	31	32
the nettle	1	11	11	11	11	11	11	5	13 13	6	16	3	5	9	NA	16	1	15	16	3	11	12	14	10	15	3	3	3	3 3	3	3	10	10	10	10	16	16	16	16	16	16	16	16	14	14	14	14	14	14	14	1	16	16	16	16	10	10	10	10	10	10	10	10	10	11	11	11	11	11	10	10	10	10	10	10	13	13	13	13	14	14	15	15	15	14	14	14	13	10	10	10	10	10	10	1	1	14	14	1	1	1	1	1	1	1 3	1	1	14	NA	16	14	16	16	10	10	10	10	10	13	11	11	11	11	11	17	10	10	10	10	10	10	3	NA	3	3	16	16	2 7 8 8	4	5	17	17	17	17	16	18
the oats	7	11	18	18	11 18	11	18	NA	13	4	3	9	NA	16	17 23	3	7	NA	3	3 23	11	19	26	11	22	1	NA	19	1	9	NA	11	18	11	24	18	18	18	18	24	15	15	18	11	25	NA	11	NA	11	11	1	10 18 3	10 3 28	10 10 3 21	3	18	24	18	11	18	NA	NA	11 18	11	3	11	12	11	3	11	27	11	14	18	11	19	18	18	18	12	25	18	18	18	11	11	11	18	11	11	11	11	11	24	7	7	26	26	9	8	1	2	7	2	8 9	8	9	26	26	3	26	3	NA	24	18	18	18	18	13 14	23	18	11	23	11	10 3 28	18	11	18	18	NA	18	NA	NA	20	1	10	3	5	3	6	3	NA	3	10	3	29
the orphan	5 3	3	3	3	3	3	3	2	3 3 3	3	2 13 3	3	2	NA	8	7	5	2 3	9 12	3 15	3	16	10 3	3	2	3	3	3	3 3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	11	11	11	11 14	3	3	3	3	3	3	3	3	3	10	3	3	10 3	3	3	3	3	3	3	3	6 3	3	3	3	3	3	2	2	2	3	3	3	3	3	3	3	3	3	3	3	3	3 17	3	3	3	3	5 3	5 3	5 3	3	3	3	3	NA	NA	3	NA	NA	3	3	3	3	3	3	3	3	3	3	3	2 14	3	3	3	3	3	3	3	3	3	3	NA	NA	3 3	4	2	3	NA	2	2	3	NA
the owl	4	15	21	21	21	21	15	8	9	3 3	8	1	8	NA	11	NA	4	9 8	8	17 19	1	20	21	13	18	13	13	13	13 13	13	13	13	13	13	13	22	22	22	22	22	22	22	22	1	1	1	21	21	21	21	1	8	8	9	9	13	13	13	13	13	21	21	21	21	15	15	21	14	15	21	21	21	21	21	21	9	1	1	9	21	23	18	18	18	21	21	21	9	21	21	21	21	NA	21	4	4	1	1	1	1	1	4	4	4	1	1	1	12	NA	NA	NA	8	10 8	13	13	13	13	13	9	21	21	21	21	15	9 8	13	13	13	13	13	20	13	13	13	13	16	NA	2 3 6 7	5	8	8	8	8	8	9	NA
the paint	3 8	8	4	8	8	8	8	NA	8	2 7 9	12 14	1	3	NA	10 8	NA	6	12 13	12	1 8	4	3	4 8	4 15 8	13	8	8	8	4 8 8	8	8	8	8	8	4	3	4 8	3 8	4 8	3	4	4	4	4 8	8	4	4	8	4	16	1	12	3	12	14	8	4	8	4	4 8	8	8	8	4 8	8	8	8	4	NA	4 8	4 8	8	8	8	8	4	8	8	8	4	8	3	NA	13	4	8	8	8	8	8	8	4	8	8	3 8	8	8	3	1 4	1 3	1 3	3	3	3	4	1 3	1 4	8	4	NA	4 8	3 12	3	8	8	8	3	4	8	8	4	8	8	4 8	12	8	8	8	8	8	8	4	8	8	8	12	NA	4	5	3	3 12	12	3	3	12	NA
the paper	3	10	10	10	10	10	10	5	9	8 8	3	2	5	3	3	3	3	3	3	2	2	11	3	2	3	2	2	2	2 2	2	2	9	9	9	9	3	3	3	3	3	3	3	3	2	7	9	3	3	3	3	2	3	3	3	3	9	9	9	9	9	2	9	9	3	10	10	10	10	10	9	9	9	9	9	9	9	9	9	9	3	3	3	3	3	3	3	3	9	9	2	9	9	9	9	3	3	2	2	8	2	2	6	3 7	6	1 8	2	8	2	9	3	3	NA	2	9	9	9	9	9	9	10	10	2 10	10	10	3	NA	9	9	9	9	9	2	2	2	2	3	3	2	4	5	11	11	11	11	3	3
the partridge	2	18	18	32	18 32	18	18	11	11	3	24	5	NA	12	25	12	2	12	12	20 30	18	17	11	11	19	17	5 36	5 23	5 5 17	10	10	29	NA	11 29	NA	16	2	16	16	2	22	2	2	11	NA	11	18 28	11	11	11	5	12	12	12	12	15	15	34	11	17	11	NA	11 21	11	18	18	NA	18	18	11 27	11	11	NA	27	11	35	11	11	11	11	11	NA	9	19	11	11	11	11	11	11	11	11	NA	11	2	2	14	14	NA	5	5	6	2 6	2 6	5	5	5	NA	NA	12	11	12	NA	NA	11	11	34	34	11	NA	31	18	18	18	12	NA	11	13	11	11	33	5	5	NA	26	12	12	1 4 7	NA	NA	NA	NA	12	NA	12	24
the pea	5	5 18	5	18	18	5 18	18	13	18	2 6	13	9	NA	13	16	13	1	11 13 13	13	9	9	5	18	9 18	12 5 13	9	9	9	9 9	9	9	18	9	9	9 18	18	18	18	18	18	17	18	18	5	5	5	5	18	5	15	9	NA	5 13	5	13	9	18	9	18	5 9	9 18	18	18	18	18	18	18	18	18	9 18	9 18	9 18	18	18	9 18	18	18	18	18	18	15	5	5	5	18	18	15 18	18	18	18	5 18	18	5	18	5	5	19	9	5 9	9	9 18	10	5	5	9	9	9	9	18	13	18	13	13	9	18	9 18	9	9	18	18	5	18	18	18	13 14	NA	18	18	18	18	5	9	9	9	9	5	13	3 4 6 7 8 9	NA	NA	5 13	5	13	13	13	5
the pear	6	8 18	18	18	18	8 18	18	7	10	3 4	7 14	1	NA	9	16	9	6	7	9 13	1	18	8	NA	10 15	7	1	1	1	1 1	1	1	10	10	10	10	17	17	17	17	17	17	17	17	18	18	18	17	17	17	17	1	NA	9	NA	NA	10	10	10	10	10	10	10	10	10	11	11	NA	11	11	10	10	10	10	10	10	10	10	10	10	17	17	7	7	7	17	17	17	10	10	10	10	10	10	10	6	6	10	10	1	1	1	6	6	6	1	1	1	10	10	NA	17	12	12	10	10	10	10	10	10	18	18	18	18	18	7	NA	10	10	10	10	10	1	1	1	1	9	9	1 2 5	NA	NA	12	12	12	12	9	7
the pencil	2 3	1	2	2	2	1	1	1	1	1	1	2	NA	1	11 1	1	3	1	1	2	2	2	1	2 1	1	1	1	1	1 1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	2 1	1	2 1	2	1	2	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	2	1	1	1	1	2 1	3	2 3	3	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	2 1	2	2	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	NA	NA	1	1	1	1	1	1
the pepper	5	4	4	4	4	4	4	4	4	3	5 7	1	NA	NA	7	NA	5	4 5 11 11	7	7 9 4	4	6	4	4	8	4	4	4	4 4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	7	6 7 6	6	7	4	4	4	4	4	4	4	4	4	4	4	6	4	4	4	4	4	4	4	4	6	4	4	4	4	4	6	10	8	4	4	4	4	4	4	4	4	4	4	5	5	4	4	4	4	4	5 6	5	5	4	4	4	4	4	NA	4	6	6	4	4	4	4	4	4	4	4	4	4	4	6	4	4	4	4	4	4	4	4	4	4	7	NA	2 5	4	5	6	NA	7	6	12 5 7	NA
the pig	6	8	8 16	8	8	8	8	7	8	4	7	3	7	7	15	13	6	7	7 3 14	3	8	11	3	12	7	3	3	3	3 3	3	3	12	12	12	12	9	9	9	9	9	9	9	9	8	8	8	3	3	3	3	3	7	7 14	7	NA	12	12	12	12	12	12	12	12	12	8 16	8	8	8	8	12	12	12	12	12	12	10	8	8	8	3	3	7	7	7	3	3	3	8	12	12	12	12	12	12	6	6	8	8	3	3	3	6	6	6	3	3	3	8	8	13	3	7	7	12	12	12	12	12	8	8	8	8	8	8	7	12	12	12	12	12	12	3	3	3	3	13	13	1 5	7	7	7	NA	7	7	7 3	7
the pipe	1	1	1	1	5	1	1	NA	NA	1	9 10 1 1 11	2	NA	5	6	NA	3	NA	NA	6	1	9	NA	NA	NA	9	1	1	1	1	1	1	NA	1	1	8	1	5	1	1	1	5	1	1	NA	1	1	1	5	1	1	5	7	5	NA	1	5	1	1	5	1	1	1	1	5	5	5	NA	5	1	1	1	1	1	1	1	5	1	5	1	1 5	NA	5	5	1	1	1	1 5	1	1	1	5	1	1	1	1	5	1	1	1	5	1	1	5 1	4 5 1	1	1	1	1	5	1	5	NA	5	5	5	5	1	1	1	1	1	1	1	9	5	1	5	1	1	9	5	5	NA	9	9	6	NA	5	5	5	NA	5	8	NA	1
the plum	9	24	24	15 24	24	24	24	19	24	4 7 20	20	5	NA	NA	26	27	9	20 20	17	20	24	23	NA	25 24	9 20	15	15	15	15 15	15	15	24	24	24	24	16	16	16	16	16	16	16	16	5	5	5	5	5	5	5	5	17	17	17	17	24	24	24	24	24	24	24	24	24	24	24	24	24	24	24	24	24	24	24	24	24	24	24	24	NA	28	20	NA	16	5	5	5	24	24	24	24	24	24	24	9	9	5	5	5	5	5	9	9	9	5	5	5	22	5	NA	28	20	18	24	24	24	24	24	24	24	24	24	24	24	20	NA	24	14 24	24	24	24	15	15	15	15	NA	NA	1 2 3 6 10 11 11 13	NA	NA	NA	NA	17	17	17	NA
the pocket	1	1	1	1	1	1	1	2	1 1	1	2 7	1	2	7	2	2	1	3 7	2 7	2	1	5	1 2 4	4	1 7	1	1	1	1 1	1	1	1	1	1	1	2	2	2	2	2	2	2	2	1	1	1	1	1	1	1	1	7	7	7	NA	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	1	6	6	1	1	1	1	1	1	1	1	1	1	1	7	1	1	1	1	1	1	1	1	1	1	2	2	1	1	2	6	6	6	6	2 7	1
the poison	2	4	4	4	4	4	4	4	4 4 10	2	4	4	4	4	11	4	2	4 4 4	4	NA	4	8	4 4 4 9	4 4	6	4	4	4	4 4 8	4	4	4	NA	4	4	8	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	NA	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	7	7	4	4	4	4	4	4	4	2	2	4	4	1	4	4	2	2	2	4	4	1	4	4	4	4	4	4	4 4	4	4	4	4	4	4	4	4	4 4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	2 3 4 5 5	4	4	4	4	4	4	4	4
the price	2	3	3	3	3	3	3	1	3	3 4 5	1 3 7	3	1	3	7	NA	2	1 3 8	1 3	1 6 3	7	9	3	1 3	1	3	3 8	3	3 3	3	3	3	3	3	3	3	1	1	1	3	3	1	3	3	3	3	3	3	3	3	3	1	1	1	1	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	1	1	1	3	3	3	3	3	3	3	3	3	3	2	2	3	3	3	3	3	2	2	2	3	3	3	3	3	NA	3	1	1	1 3	3	3	3	3	3	3	3	3	3	3	1	3	3	3	3	3	3	3	3	3	3	NA	NA	1 3	3	1	1	1	1	1	1	NA
the prison	7 8 9	7	7	7	7 13	7	7	7	7	6 13	7	4	7	NA	15	11	8	7	7	13 7	7	9	7	7	7	1	9	9	1 9 9	1	1	1	1	1	1	7	7	7	7	7	7	7	7	7 9	NA	9	7	7	7	7	4 1	7	7	7	7	1	7 9	7 1	7	1	7 13	7	7	7	7	7	7	7	7	7	7	7 13	7	7 12	7 13	7	7	7	7	7	9	7	7	7	7 14	7	7	7	7	7	7	7	7	7	7	7	7	7	4	4	4 9	9	9	8 9	4	4	4	9	1	NA	7	7	7	1	1	1	1	1	7	7	7	7	7	7	7	7	1	7	1	7	7	3 1	1	9	7	NA	NA	2 2 4 5 13	7	7	7	7	7	9	7	NA
the pumpkin or squash	4	1	1	1	1	1	1	5	5	7	5	2	NA	5	5	5	NA	NA	NA	5	1	14	5	11	NA	5	2	5	5 5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	NA	NA	NA	NA	5	5	5	5	5	1	1	11 1	1	5	5	5	5	5	1	1	1	1	1	1	10	NA	13	14	5	5	5	14	5	5	5	5	5	11	11	11	11	11	11	4	4	5	5	5	5	5	4	4	4	2	5	5	5	5	5	5	5	5	5	5	5	5	5	1	1	1	1	1	1	5	5	5	8	5	5	5	5	5	5	9	12	12	3 6	5	5	12	12	12	12	15	5
the reindeer/caribou	4	14	14	14	14	14	14	7	14	3	17	5	7	17	18	7	4	7 7 9	17	12	14	16	5	14	13	5	5	5	10 5 5	5	5	14	10	14	14	1	1	1	10 1	1	7	7	7	5	11	5	5	5	5	15	5	20	20	20	20	14	14	14	14	14	14	14	10 14	14	14	10	NA	14	14	10 14	10	14	10	14	14	14	14	14	14	14	10	7	NA	7	10	10 14	14	10	10 14	14	14	14	10 14	14	4	4	5	5	5	5	5	4	4	4	5	5	5	6	5	7	10	20	17	14	14	14	14	14	14	14	14	14	14	14	17	14 19	14	14 19	14	14	14	8 10 5	10 5	10 5	10 5	17	17	2	NA	NA	20	NA	17	17	21	5
the rice	2	6 10	6	6	6	6 10	6	2	2	1 1	2	6	2	7	6	2	2	7	7	6	6	10	NA	6	NA	6	6	6	6 6	6	6	6	6	6	6	9	9	9	9	7	2 7	7	7	2	2	2	6	6	6	6	6	7	7	7	7	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	2	2	2	2	6	6	7	7	7	6	6	6	2	6	6	6	6	6	6	2	2	2	2	6	6	6 6	2	2	2	6	6	6	2	2	2	6	8	8	6	6	6	6	6	2	6	6	6	6	6	10	6	6	6	6	6	6	6	6	6	6	7	7	2 3 4 5 1 7	NA	NA	10	NA	10	NA	7	2
the ring	2 9	28	28	28	25	28	28	8	26	5 6 10	13	11	8	15	32	31	2	17	18	14 19 23 11	28	9	26 29	22 26	12	11	6	11	11 11	11	11	26	26	26	26	28	28	28	28	28	28	28	28	30	27	27	16	26	16	26	11	18 21	18 21	18	18	26	26	26	26	26	26	26	26	26	28	28	NA	28	28	26	26	26	26	26	26	26	26	26	26	26	26	12	9	12	20	NA	20 24	26	26	26	26	26	26	26	2	2	27	NA	11	11	11	2	2	2	11	11	11	33	NA	NA	26	1	1	26	26	26	26	26	26	28	28	28	28	28	9	26	26	26	26	26	26	11	11	11	11	31	31	3 4 7	1	8	34	34	34	34	34	1
the rope	4 9	19	19	19 26	19	19	19	24	26 26 15	2	12 20 23	4	NA	NA	21	NA	8	13 22 28 26 26	20	10 19	19	14	4 30	26	22	19	19	19	19 19	19	19	26	26	26	26	26	25 26	26	25 26	26	26	26	26	26	26	26	30	30	29	27	4	20	20	20	20	26	26	26	26	26	26 26	26	26	33	31 26	26	NA	31 26	31 26	26	26 26	26	26	26	26	16	16	16 32	16 18	27	30	21	21	21	NA	17	17 26	16	NA	26	26	26	26	26	4	4	4 27	27	NA	4	4	4	4	4	4	4	4	11 4 34	NA	NA	27	NA	20	26	26	26	26	26	26	19	19	19 31 26	19	19 31 26	20	26	26	26	26	26	26	19	19	19	19	26	NA	2 5 6 6 7	1	3	20	20	20	20	20	NA
the rosary	NA	6	6	6	6	6	6	11	5 5	4 5	NA	6	NA	12	5	10	3	7 11	11	5 6	6	16	5	NA	11	6	6	6	6 6	6	6	5	5	5	5	5	5	5	5	5	5	5	5	6	6	6	5	14	5	5	6	11	11 15	11	11	5	5	6	5	5	5	5	5	5	6	6	6	6	6	5	5	5	5	5	5	6	5	5	5	5	5	11	11	11	6	8 5	6	5	9 5	5	5	5	5	5	NA	3	6	6	1 2	6	6	6	6	6	6	6	1	13	6	10	NA	NA	17	5	5	5	5	5	5	6	6	6	6	6	11	NA	5	5	5	5	5	5	5	5	5	10	10	5 6	NA	NA	11	11	11	11	11	5
the rust	4	13	13	13	13	13	13	4	13	3	7	2 11 2	NA	7	12	7	4	16 16	NA	NA	13	15	NA	5 13	16	2	2	2	2 2	2	2	5	5	5	5	5	5	5	5	5	5	5	5	2	2	2	13	13	NA	13	2	7	10	7	7	5	5	5	5	5	13	13	13	13	13	13	NA	13	13	13	13	13	13	13	13	13	13	13	13	13	13	16	16	16	13	13	13	13	13	13	13	13	13	13	4	4	14	2	2	2	2	4	4	4	2	2	2	2	18	NA	13	7	7	5	5	5	5	5	13	13	13	13	13	13	8	NA	5	5	5	5	5	2	2	15	2	7	7	1 4 4	NA	NA	19	NA	19	19	19	19
the sand	3	5	5 7	5	5	5	5	4	5	6	14	5	NA	17	5	17	2	12	17	11 5	5	13	5 15	5	10	5	5	5	5 13 5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	15	5	5	5	5	5	5	17	17	17	17	16	16	16	16	16	5	5	5	5	18	18	18	5	18	5	5	5	5	5	5	5	5	5	5	15	15	13	13	13	5	5	5 15	5	5	5	5	5	5	5	2 3	3	5	5	NA	5	5	2 3	3	3	5	1	5	5	NA	19	15	14	13	16	5	16	13	16	5	5	5	5	5	5	14	5	5	5	5	5	13	5	5	5	5	17	17	6 7 9	8	4	20	NA	20	20	20	5
the saw	4	1	1	1	1	1	1	17	10	1 1	19	1	6	19	15	19	7	16	5	4	1	14	1	10	16	1	1	1	1 1	1	1	10	10	10	10	8	8	8	8	8	8	8	8	5	5	5	1 5 10	5	10	5	4 1	9 5	9 5	9 5	5	10	10	10	10	10	10	10	10	10	1	1	NA	1	1	10	10	10	10	10	10	10	10	10	10	1	1	16	16	16	5	10 5	5 10 1	10	10	10	10	10	10	10	4	4	3 5	3	1	1	1	4	4	4	4 1	1	1	3 5	3 4	NA	1	11 19	11 19	10	10	10	10	10	10	1	1	1	1	1	11 19	10	10	10	10	10	10	1	1	1	1	19	19	2	5	6	20	NA	20	20	20	20
the scar	10	36	36	36	36	36	36	NA	NA	8	14 31	3	NA	NA	28	30	9	NA	1 33	19 11	26	10	25 23 11	21 23	NA	11	11	11	10 10 11 11	11	11	21 10	21 23	21 23	21 23	17	17 18	17	17 18	17	17 18	18	18 34	NA	NA	3	23	23	23	25	4 11	1	1	1	1	21	27	21	21 27	21 27	23	21 32	21	21 23	24	36	NA	23	24	21	23	21 23	21 10	21 23 23	21 23	13 13	13 23	23	13 23	23	22	29	NA	31	23	15 23	22	23	23	21	23	21 23	21 23	21 23	10 11	10 11	3	NA	3 11	3	3	6 10	6 10	10	3 11	NA	3 11	26 3 39	26 39	NA	23	20	20	21	21	27	23	23	23 25	36	36	16 26	36	16	31	21	21	21	21	21	35	19 11	11	10 11	10 11	1	1	2 5 5 8 12	7	1	1 1	1	1	1	1	NA
the school	4 4	6	6	6 4	6 4	6	6	4	6	5	4	6	4	4	8 5 6	4	4	4 6	4	6 4	4	4	6	6 4	4 6	6	6	6	6 6	6	6	6	6	6	6	6	4	4	4	6 4	6	6	6 4	6	6	6	6	6	6	6	6	4	4	4	4	6	6	6	6	6	6	6	6	6	6	6	6 6	6 6	6	6	4	6	6	6	6	6	6	6	6	6	6	4	4	4	6	6	6	6	6	6	6	6	6 4	6 4	4	4	6 6	6	6	6	6	4	4	4	6	6	6	6	6	4	6	4	4	6	6	6	6 4	6	6	4	6	6 4	6 4	6	4	NA	6	6	6	6	6 4	6	6	6 4	6 4	4	4	1 2 3 5 7	4	4	4	4	4	4	4	6
the scissors or shears	4 7	16	16	16	16	16	16	8	21	5 6	13	7	8	12	19	11	4	16	12	7	7	17	7	20	22	7	7	7	18 7	7	7	20	20	20	20	10	10	10	10	10	10	10	10	9	9	9	7	7	7	7	7	12	12	12	12	20	20	20	20	20	20	20	20	20	16	16	16	16	16	20	20	20	20	20	20	21	21	21	21	16	16	22	22	22	7	7	7	21	20	20	20	20	20	20	7	7	9	9	7	7	7	7	7	7	7	7	7	9	9	11	7	14	14	20	20	20	20	20	21	16	16	NA	16	16	12	20	20	20	21	20	20	7	7	7	7	11	11	1 7	3	8	14	NA	14	14	14	23
the scythe	2	3	3	3	3	3	3	15	20	6 7	14	NA	5	21	NA	12	8	11 14	14 18	22	3	9	20	3	13	22	22	22	22 22	22	22	3	3	3	3	10	10	10	10	10	10	10	10	22	22	22	20	20	20	20	3	19	19	19	NA	3	3	3	3	3	3	3	3	3	3	3	NA	3	3	3	3	3	3	3	3	3	3	3	3	3	20	11 13	13	14	20	20	20	3	3	3	3	3	3	3	2	2	22	NA	2	2	2 4	2	2	2	2 3	2	2	22	22	NA	NA	16	17	3	3	3	3	3	3	3	3	3	3	3	19	3	3	3	3	3	3	22	22	22	22	12	12 16	1	NA	NA	14	14	14	14	14	20
the sea	6	7	7	7	7	7	7	4	7	1	4	8	4	4	14	4	6	4	4	8	7	10	2	7	4	2	2 8	2	2 2	2	2	7	7	7	7	13	13	13	13	13	13	13	13	2	2	2	2	2	2	2	8	4	4	9 10	4	7	12	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7 11	7	7	7	7	7	7	8	2	10	4	10	2	2	2	7	7	7	7	7	7	7	6	6	2	2	8	8	8	6	6	6	8	8	8	8	8	4	2	4	10	7	7	7	7	7	7	7	7	7	7	7	4	7	7	7	7	7	7	2	8	10	2	10 4	4	2 5	4	4	NA	NA	4	4	4	4
the shade or shadow	5	22	22	22	22	22	18 22	6	10	3	21	7	6	11	1	11	2	14	11	13	7	24	10 20 22	17 22	14	7	7	7	7 7	7	7	17	17	17	17	17	17	17	17	25	25	25	25	10	10	10	10	10	10	10	7	11	11	11	11	16	16	16	16	16	22	22	22	22	10	10	NA	10	NA	22	22	22	22	22	22	19	10	10	12	10	10	14	14	14	10	10	10	10	22	22	22	22	22	22	5	5	10	10	NA	7	7	5	5	2 5	7	7	7	NA	NA	NA	10	15	15	16	16	16	16	16	10	22	22	22	22	22	11	22	17	22	17	17	23	16	16	16	NA	11	11	8 9	4	6	26	26	26	26	11	NA
the shop/store	1 5	1	5 1	1	5 1	1	1	4	1 1	1 6 7	1	5	4	NA	1	NA	5	5	1	1	5 1	5	1	5 1	4	1	5	5	5 5	1	1	5 1	5	1	1	1	1	5 1	5 1	1	1	1	1	5	1	5	1 5	4 1	1	1	1	1	1	1	1	1	5 1	1	5	5 1	1	5 1	5 1	1	1	1	1	1	5 1	5 1	1	1	5 1	1	1	1	1 4	1	1	1	1	5	8 1	5	NA	1	1	1	5 1	1	1	5 1	5	1	1 5	1 5	5	4 5	1	1	1 5	1	1	1 5	1 5	1	1	1 5	1 5	NA	1	1	1	5 1	1	1	5 1	5 1	1	1	1	1	1	1	1	NA	1	5 1	1	5 1	5 1	1	5 1	5 1	1	NA	NA	1 2 3 5	1	4 5	1	NA	1	1	1	6
the sickle	9	17	17	17	17	17 22	17	16	14 27	7 8	20 25	10	NA	NA	18	21	NA	NA	NA	10	17	22	12	14	NA	27	27	27	27 27	27	27	14	28	14	28	14	14	14	14	14	14	14	14	12	12	12	26	12	23	26	2 10	24 24	24 24	24	NA	14	14	14	14	14	14	14	14	14	13	13	NA	13	17	14	14	14	14	14	14	23	23	17	23	15	12	19	19	19	12	12	12	14 27	14	14	14	14	14	14	9	9	12	12	10	10	10	11	11	11	10	4 10	10	10	12	NA	12	25	25	14	14	14	14	14	17	17	17	17	17	17	25	14	14	14	14	14	14	27	27	27	27	NA	NA	1 3 5 6	29	30 31	NA	NA	NA	24	21	NA
the silver	3 5	3	3	3	3	3	3	7	1	2	1	3	4	NA	12	NA	5	8 4 4	1	3	3	10	3	1	4	3	3	3	3 3	3	3	1	1	1	1	1	1	1	1	1	1	1	1	3	9	3	3	3	3	3	3	1 11 10	1 11 10	1	1	1	1	1	1	1	1	1	1	1	3	3	3	3	3	1	1	1	1	1	1	1	1	1	1	3	3	NA	1	NA	3	3	3	1	1	1	1	1	1	1	3 5	3 5	3 9	9	3	3	3	5	5	3	3	3	3	3	3	NA	3	6	6	1	1	1	1	1	1	3	3	3	3	3	1	1	1	1	1	1	1	3	3	3	3	NA	NA	NA	1	4	1	NA	1	1	1	1
